DISTRICT;NEIGHBORHOOD;LATITUDE;LONGITUDE
Ciutat Vella;el Raval;41,379364;2,16957
Ciutat Vella;el Barri Gotic;41,382478;2,176178
Ciutat Vella;la Barceloneta;41,379428;2,189968
Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,38614;2,183532
Eixample;el Fort Pienc;41,397656;2,182126
Eixample;la Sagrada Familia;41,405244;2,176493
Eixample;la Dreta de l'Eixample;41,393353;2,168599
Eixample;l'Antiga Esquerra de l'Eixample;41,389745;2,15523
Eixample;la Nova Esquerra de l'Eixample;41,383503;2,148826
Eixample;Sant Antoni;41,377763;2,159735
Sants-Montjuic;el Poble Sec;41,37294;2,165152
Sants-Montjuic;la Marina del Prat Vermell;41,351951;2,142209
Sants-Montjuic;la Marina de Port;41,359988;2,139604
Sants-Montjuic;la Font de la Guatlla;41,370219;2,144647
Sants-Montjuic;Hostafrancs;41,375537;2,144765
Sants-Montjuic;la Bordeta;41,369291;2,137668
Sants-Montjuic;Sants - Badal;41,374888;2,127853
Sants-Montjuic;Sants;41,377083;2,136233
Les Corts;les Corts;41,385519;2,136589
Les Corts;la Maternitat i Sant Ramon;41,381325;2,117079
Les Corts;Pedralbes;41,390664;2,110823
Sarria-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;41,418654;2,0968
Sarria-Sant Gervasi;Sarria;41,402061;2,117758
Sarria-Sant Gervasi;les Tres Torres;41,398154;2,130338
Sarria-Sant Gervasi;Sant Gervasi - la Bonanova;41,408949;2,131867
Sarria-Sant Gervasi;Sant Gervasi - Galvany;41,397991;2,143411
Sarria-Sant Gervasi;el Putxet i el Farro;41,406357;2,144518
Gracia;Vallcarca i els Penitents;41,414558;2,142172
Gracia;el Coll;41,417962;2,148101
Gracia;la Salut;41,412018;2,15478
Gracia;la Vila de Gracia;41,402839;2,157367
Gracia;el Camp d'en Grassot i Gracia Nova;41,40603;2,165854
Horta-Guinardo;el Baix Guinardo;41,411482;2,168306
Horta-Guinardo;Can Baro;41,41665;2,163068
Horta-Guinardo;el Guinardo;41,419134;2,174806
Horta-Guinardo;la Font d'en Fargues;41,424708;2,165574
Horta-Guinardo;el Carmel;41,421402;2,156145
Horta-Guinardo;la Teixonera;41,422755;2,146235
Horta-Guinardo;Sant Genis dels Agudells;41,425542;2,130402
Horta-Guinardo;Montbau;41,435267;2,138572
Horta-Guinardo;la Vall d'Hebron;41,431076;2,148254
Horta-Guinardo;la Clota;41,429164;2,153438
Horta-Guinardo;Horta;41,438148;2,156361
Nou Barris;Vilapicina i la Torre Llobeta;41,428873;2,174365
Nou Barris;Porta;41,434923;2,178759
Nou Barris;el Turo de la Peira;41,43212;2,169152
Nou Barris;Can Peguera;41,434602;2,166438
Nou Barris;la Guineueta;41,438971;2,168973
Nou Barris;Canyelles;41,444651;2,164362
Nou Barris;les Roquetes;41,448138;2,175599
Nou Barris;Verdun;41,442911;2,175721
Nou Barris;la Prosperitat;41,443022;2,182488
Nou Barris;la Trinitat Nova;41,450717;2,185582
Nou Barris;Torre Baro;41,454917;2,175139
Nou Barris;Ciutat Meridiana;41,461294;2,175528
Nou Barris;Vallbona;41,463237;2,183566
Sant Andreu;la Trinitat Vella;41,451609;2,19299
Sant Andreu;Baro de Viver;41,446202;2,198737
Sant Andreu;el Bon Pastor;41,436662;2,202398
Sant Andreu;Sant Andreu;41,434891;2,194256
Sant Andreu;la Sagrera;41,423804;2,190286
Sant Andreu;el Congres i els Indians;41,424538;2,18101
Sant Andreu;Navas;41,418559;2,186157
Sant Marti;el Camp de l'Arpa del Clot;41,411951;2,182889
Sant Marti;el Clot;41,409416;2,190115
Sant Marti;el Parc i la Llacuna del Poblenou;41,398717;2,191309
Sant Marti;la Vila Olimpica del Poblenou;41,391093;2,196349
Sant Marti;el Poblenou;41,400243;2,202482
Sant Marti;Diagonal Mar i el Front Maritim del Poblenou;41,405907;2,214436
Sant Marti;el Besos i el Maresme;41,415567;2,215468
Sant Marti;Provençals del Poblenou;41,4105;2,202143
Sant Marti;Sant Marti de Provençals;41,416689;2,198199
Sant Marti;la Verneda i la Pau;41,424262;2,203401
